emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,fx,fy,fz,x,y,z,rx,ry,rz,t
4,7,7,4,3,1,-1,-11,-6.572054534646906,-6.660949414009899,0.7507523102550002,54.86545181274414,673.6402587890625,156.28236389160156,86.1036376953125,176.01991271972656,102.5582504272461,55.72936534881592
0,-1,-15,-8,-2,0,2,-2,-6.572054534646906,-6.660949414009899,0.7507523102550002,54.86545181274414,673.6402587890625,156.28236389160156,86.1036376953125,176.01991271972656,102.5582504272461,55.72936534881592
0,-6,-11,-5,-4,-3,-4,-6,-6.572054534646906,-6.660949414009899,0.7507523102550002,54.86545181274414,673.6402587890625,156.28236389160156,86.1036376953125,176.01991271972656,102.5582504272461,55.72936534881592
-5,44,-5,-14,-5,-2,0,8,-6.572054534646906,-6.660949414009899,0.7507523102550002,54.737831115722656,673.535400390625,156.2710418701172,86.10749816894531,176.018798828125,102.56167602539062,55.733375549316406
1,-3,49,29,10,6,6,-10,-6.557106435536667,-6.764092354033647,0.6781175719447206,54.37257766723633,673.2431030273438,156.2321319580078,86.1274642944336,176.0149688720703,102.57835388183594,55.744404315948486
1,-4,4,1,-1,0,-1,-2,-6.499908994392834,-6.804343866281113,0.7334252197945792,54.37257766723633,673.2431030273438,156.2321319580078,86.1274642944336,176.0149688720703,102.57835388183594,55.744404315948486
2,7,9,3,0,0,3,14,-6.472528714650395,-6.6693427263094796,0.8161621412066121,54.03324508666992,672.9679565429688,156.18174743652344,86.14488220214844,176.0118865966797,102.59149932861328,55.754430532455444
-4,4,-25,-1,4,1,3,-3,-6.472528714650395,-6.6693427263094796,0.8161621412066121,54.03324508666992,672.9679565429688,156.18174743652344,86.14488220214844,176.0118865966797,102.59149932861328,55.754430532455444
-3,-12,23,9,-1,-2,-1,-1,-6.538601719947028,-6.784121572692199,0.7954271041497833,53.55569076538086,672.5533447265625,156.11859130859375,86.1599349975586,176.01034545898438,102.60604858398438,55.768463373184204
-1,-5,-26,-5,-3,0,-1,7,-6.538601719947028,-6.784121572692199,0.7954271041497833,53.55569076538086,672.5533447265625,156.11859130859375,86.1599349975586,176.01034545898438,102.60604858398438,55.768463373184204
1,5,-5,-7,-3,-4,-4,-6,-6.538601719947028,-6.784121572692199,0.7954271041497833,53.55569076538086,672.5533447265625,156.11859130859375,86.1599349975586,176.01034545898438,102.60604858398438,55.768463373184204
3,-7,-5,5,2,2,1,-6,-6.538601719947028,-6.784121572692199,0.7954271041497833,53.55569076538086,672.5533447265625,156.11859130859375,86.1599349975586,176.01034545898438,102.60604858398438,55.768463373184204
-4,6,-16,-11,0,-1,-2,-10,-6.360569296683772,-6.745945393918572,0.8531983308941227,53.19791030883789,672.2493286132812,156.0789031982422,86.17095184326172,176.00807189941406,102.61858367919922,55.78901481628418
-4,13,30,7,0,0,-1,2,-6.360569296683772,-6.745945393918572,0.8531983308941227,53.19791030883789,672.2493286132812,156.0789031982422,86.17095184326172,176.00807189941406,102.61858367919922,55.78901481628418
-2,-13,-31,-7,-4,-6,-3,-1,-6.360569296683772,-6.745945393918572,0.8531983308941227,52.58818054199219,671.6993408203125,156.00933837890625,86.16941833496094,176.0089569091797,102.61585235595703,55.79402828216553
0,-3,28,5,-3,-3,-4,-19,-6.360569296683772,-6.745945393918572,0.8531983308941227,52.58818054199219,671.6993408203125,156.00933837890625,86.16941833496094,176.0089569091797,102.61585235595703,55.79402828216553
-1,21,-14,-10,-1,-3,2,5,-6.405777535407399,-6.957893257938335,1.1451961805839859,52.0738525390625,671.2399291992188,155.96200561523438,86.15997314453125,176.00645446777344,102.60692596435547,55.80906796455383
-3,-28,1,18,3,0,-3,-17,-6.405777535407399,-6.957893257938335,1.1451961805839859,51.924232482910156,671.107666015625,155.95237731933594,86.15654754638672,176.005126953125,102.60445404052734,55.814080238342285
-6,9,23,7,0,0,-1,3,-6.438612981966569,-7.052485715339155,1.2043822755590226,51.924232482910156,671.107666015625,155.95237731933594,86.15654754638672,176.005126953125,102.60445404052734,55.814080238342285
-6,-3,-3,-1,-1,-2,-1,1,-6.438612981966569,-7.052485715339155,1.2043822755590226,51.924232482910156,671.107666015625,155.95237731933594,86.15654754638672,176.005126953125,102.60445404052734,55.814080238342285
0,-8,-23,-13,-4,1,2,14,-6.581155097809535,-6.964988379397808,1.292611667718539,51.33039093017578,670.5609741210938,155.89939880371094,86.13607788085938,176.00729370117188,102.58585357666016,55.82870388031006
2,-3,-13,-5,-3,-3,0,13,-6.607744967093037,-6.961757939512513,1.3366708406788592,51.33039093017578,670.5609741210938,155.89939880371094,86.13607788085938,176.00729370117188,102.58585357666016,55.82870388031006
0,-12,-10,3,3,2,-1,-2,-6.607744967093037,-6.961757939512513,1.3366708406788592,51.33039093017578,670.5609741210938,155.89939880371094,86.13607788085938,176.00729370117188,102.58585357666016,55.82870388031006
-2,-17,-7,0,0,0,1,-5,-6.607744967093037,-6.961757939512513,1.3366708406788592,51.33039093017578,670.5609741210938,155.89939880371094,86.13607788085938,176.00729370117188,102.58585357666016,55.82970952987671
-1,12,-9,-3,-3,-1,0,1,-6.454130470340249,-7.055845772998361,1.6402797870822967,50.174781799316406,669.4885864257812,155.8130340576172,86.08533477783203,176.01393127441406,102.54132843017578,55.85800290107727
-1,-7,-21,-3,1,-1,1,6,-6.454130470340249,-7.055845772998361,1.6402797870822967,50.174781799316406,669.4885864257812,155.8130340576172,86.08533477783203,176.01393127441406,102.54132843017578,55.85800290107727
-1,-30,-11,-6,2,2,-3,-8,-6.454130470340249,-7.055845772998361,1.6402797870822967,50.174781799316406,669.4885864257812,155.8130340576172,86.08533477783203,176.01393127441406,102.54132843017578,55.85950255393982
-5,28,34,4,-3,-2,-2,4,-6.454130470340249,-7.055845772998361,1.6402797870822967,50.174781799316406,669.4885864257812,155.8130340576172,86.08533477783203,176.01393127441406,102.54132843017578,55.85950255393982
0,-8,-14,-4,-1,-1,-1,-6,-6.352074881852407,-7.006004849930468,1.6812514888521288,49.875308990478516,669.2149047851562,155.7853240966797,86.07886505126953,176.01417541503906,102.53518676757812,55.86944031715393
-1,1,-4,-8,-3,-2,-2,-3,-6.352074881852407,-7.006004849930468,1.6812514888521288,49.875308990478516,669.2149047851562,155.7853240966797,86.07886505126953,176.01417541503906,102.53518676757812,55.86944031715393
2,8,-14,-4,-4,-2,1,6,-6.352074881852407,-7.006004849930468,1.6812514888521288,49.72368240356445,669.0755004882812,155.78475952148438,86.07489013671875,176.0142059326172,102.53131866455078,55.87463307380676
-7,-11,-14,-4,-1,-1,-1,-8,-6.352074881852407,-7.006004849930468,1.6812514888521288,49.72368240356445,669.0755004882812,155.78475952148438,86.07489013671875,176.0142059326172,102.53131866455078,55.87463307380676
-4,-2,21,3,0,0,2,1,-6.290946016322095,-7.06840879887137,1.7108993096026968,49.30923080444336,668.69140625,155.76168823242188,86.06391906738281,176.01622009277344,102.52312469482422,55.884373903274536
0,4,-4,-7,-3,-3,-3,-4,-6.290946016322095,-7.06840879887137,1.7108993096026968,49.30923080444336,668.69140625,155.76168823242188,86.06391906738281,176.01622009277344,102.52312469482422,55.884373903274536
-2,-3,-14,-3,0,-1,-4,-13,-6.425274628900298,-7.059153416833222,1.7871241353828713,49.16176986694336,668.5546875,155.75782775878906,86.06206512451172,176.01548767089844,102.5226821899414,55.889017820358276
-2,2,6,3,2,0,0,-1,-6.425274628900298,-7.059153416833222,1.7871241353828713,49.16176986694336,668.5546875,155.75782775878906,86.06206512451172,176.01548767089844,102.5226821899414,55.889017820358276
2,-1,8,1,1,1,3,2,-6.433342704570489,-7.200642894807938,1.764570202672487,48.19857406616211,667.6452026367188,155.74659729003906,86.048828125,176.01602172851562,102.50914764404297,55.91455554962158
1,9,-1,-9,-4,1,3,28,-6.505450382505052,-7.230632465875622,1.7655815312024763,48.19857406616211,667.6452026367188,155.74659729003906,86.048828125,176.01602172851562,102.50914764404297,55.91455554962158
2,2,-24,-7,-5,-5,-4,-10,-6.505450382505052,-7.230632465875622,1.7655815312024763,48.19857406616211,667.6452026367188,155.74659729003906,86.048828125,176.01602172851562,102.50914764404297,55.91455554962158
-2,-3,12,6,0,1,2,2,-6.505450382505052,-7.230632465875622,1.7655815312024763,48.19857406616211,667.6452026367188,155.74659729003906,86.048828125,176.01602172851562,102.50914764404297,55.91455554962158
2,-25,-56,-16,-3,-3,-1,5,-6.351669675949744,-7.201135219070068,1.8176173967541003,47.43827438354492,666.9014282226562,155.75526428222656,86.03831481933594,176.01754760742188,102.5021743774414,55.933757305145264
-1,12,11,4,2,1,0,3,-6.351669675949744,-7.201135219070068,1.8176173967541003,47.43827438354492,666.9014282226562,155.75526428222656,86.03831481933594,176.01754760742188,102.5021743774414,55.933757305145264
0,6,13,9,6,6,5,18,-6.33342458378955,-7.270650886817226,1.8253169602376091,47.43827438354492,666.9014282226562,155.75526428222656,86.03831481933594,176.01754760742188,102.5021743774414,55.933757305145264
0,10,3,-5,-2,-3,-4,-7,-6.33342458378955,-7.270650886817226,1.8253169602376091,47.43827438354492,666.9014282226562,155.75526428222656,86.03831481933594,176.01754760742188,102.5021743774414,55.933757305145264
-1,17,-6,-9,-7,-3,4,13,-6.486272029786716,-7.331499564999542,1.9324566698720655,46.71786117553711,666.1947631835938,155.7549285888672,86.03267669677734,176.01837158203125,102.49327087402344,55.95450139045715
-3,-28,0,7,3,2,-4,-22,-6.486272029786716,-7.331499564999542,1.9324566698720655,46.71786117553711,666.1947631835938,155.7549285888672,86.03267669677734,176.01837158203125,102.49327087402344,55.95450139045715
-4,-3,3,-2,-3,-3,-1,-1,-6.486272029786716,-7.331499564999542,1.9324566698720655,46.71786117553711,666.1947631835938,155.7549285888672,86.03267669677734,176.01837158203125,102.49327087402344,55.95450139045715
-3,3,1,-3,0,-1,-1,3,-6.486272029786716,-7.331499564999542,1.9324566698720655,46.71786117553711,666.1947631835938,155.7549285888672,86.03267669677734,176.01837158203125,102.49327087402344,55.95450139045715
0,-2,2,1,-3,-2,-3,-7,-6.432496015016499,-7.2113829256542425,1.9588744557475772,46.257625579833984,665.726806640625,155.7685546875,86.0256576538086,176.0185546875,102.48859405517578,55.96881628036499
0,21,11,-2,1,-1,0,2,-6.432496015016499,-7.2113829256542425,1.9588744557475772,46.257625579833984,665.726806640625,155.7685546875,86.0256576538086,176.0185546875,102.48859405517578,55.96881628036499
-2,-4,13,3,-2,-1,-5,-10,-6.432496015016499,-7.2113829256542425,1.9588744557475772,46.257625579833984,665.726806640625,155.7685546875,86.0256576538086,176.0185546875,102.48859405517578,55.96881628036499
0,1,-9,4,1,1,3,1,-6.432496015016499,-7.2113829256542425,1.9588744557475772,46.257625579833984,665.726806640625,155.7685546875,86.0256576538086,176.0185546875,102.48859405517578,55.96881628036499
3,16,7,-7,-2,-4,-4,-12,-6.468922485653497,-7.109640420116376,2.035614582012041,45.551292419433594,664.9990234375,155.8007354736328,86.02241516113281,176.02000427246094,102.48428344726562,55.98942518234253
-2,-24,16,19,5,3,-3,-26,-6.468922485653497,-7.109640420116376,2.035614582012041,45.551292419433594,664.9990234375,155.8007354736328,86.02241516113281,176.02000427246094,102.48428344726562,55.98942518234253
5,17,5,-8,-8,-3,-2,10,-6.468922485653497,-7.109640420116376,2.035614582012041,45.551292419433594,664.9990234375,155.8007354736328,86.02241516113281,176.02000427246094,102.48428344726562,55.99367356300354
-3,-2,-4,-5,-1,-1,-2,-1,-6.468922485653497,-7.109640420116376,2.035614582012041,45.551292419433594,664.9990234375,155.8007354736328,86.02241516113281,176.02000427246094,102.48428344726562,55.99367356300354
-2,12,17,-9,-2,-1,0,-6,-6.458253323528136,-7.2837785820951195,1.9391638116503214,44.946502685546875,664.373779296875,155.8385772705078,86.02409362792969,176.02084350585938,102.49104309082031,56.003708362579346
-3,1,-36,-13,-3,0,1,10,-6.458253323528136,-7.2837785820951195,1.9391638116503214,44.946502685546875,664.373779296875,155.8385772705078,86.02409362792969,176.02084350585938,102.49104309082031,56.003708362579346
-1,-26,-20,6,5,0,0,-4,-6.414231645599651,-7.155775847783351,1.9946063161617797,44.73017501831055,664.1552124023438,155.84950256347656,86.02428436279297,176.02088928222656,102.49160766601562,56.00872302055359
1,-7,4,2,-3,-2,2,12,-6.414231645599651,-7.155775847783351,1.9946063161617797,44.73017501831055,664.1552124023438,155.84950256347656,86.02428436279297,176.02088928222656,102.49160766601562,56.00972366333008
0,6,21,6,0,0,0,-7,-6.491124658404113,-7.253735323924579,1.9667536359460103,44.10002136230469,663.4859008789062,155.9217071533203,86.02003479003906,176.02264404296875,102.48492431640625,56.02824664115906
1,4,-4,1,0,0,-5,2,-6.491124658404113,-7.253735323924579,1.9667536359460103,44.10002136230469,663.4859008789062,155.9217071533203,86.02003479003906,176.02264404296875,102.48492431640625,56.02925157546997
0,7,14,1,1,0,1,1,-6.491124658404113,-7.253735323924579,1.9667536359460103,44.10002136230469,663.4859008789062,155.9217071533203,86.02003479003906,176.02264404296875,102.48492431640625,56.02925157546997
-2,-7,-38,-8,-3,-3,-2,-1,-6.453051992743085,-7.3744134878314025,1.9832580699822673,44.10002136230469,663.4859008789062,155.9217071533203,86.02003479003906,176.02264404296875,102.48492431640625,56.02925157546997
-2,-6,23,10,3,0,1,-2,-6.3858177762758634,-7.2108234046056054,2.0994961869196684,43.5656623840332,662.9337768554688,155.970458984375,86.02043914794922,176.02239990234375,102.48674774169922,56.04910707473755
-1,20,32,-3,-6,-4,0,10,-6.4979079080204745,-7.399099248291294,2.060351077283238,43.21568298339844,662.5650024414062,156.00869750976562,86.02072143554688,176.0231475830078,102.48600769042969,56.05390524864197
